authoritativeMN,identifier
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/6077/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/7176/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/12216/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/6421/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/8277/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/2495/2
urn:node:LTER,knb-lter-gce.170.29
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/7742/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/7088/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/2263/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-gce/528/4
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/2562/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/5216/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/197/122487
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/1124/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/1341/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/3691/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/4029/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/msb-tempbiodev/1111142/7
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/6163/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-mcm/9011/5
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/1036/1
urn:node:LTER,knb-lter-bes.116.570
urn:node:LTER,doi:10.6073/AA/knb-lter-fce.293.6
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/8173/2
urn:node:LTER,doi:10.6073/AA/knb-lter-arc.1061.1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/8128/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/10157/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/4464/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-gce/530/4
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3195/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/14740/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/9752/2
urn:node:LTER,doi:10.6073/AA/knb-lter-lno.66.1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3539/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3551/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-pie/316/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/9091/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/21/17
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/7277/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/6946/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/5190/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/3423/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sgs/152/17
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/1072/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/15197/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/6088/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/5861/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/760/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-cap/266/6
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/11331/2
urn:node:LTER,knb-lter-hfr.85.14
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/6704/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/2409/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/8856/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/2941/2
urn:node:LTER,knb-lter-arc.1610.6
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-arc/10277/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/5845/1
urn:node:LTER,doi:10.6073/AA/knb-lter-arc.704.1
urn:node:LTER,knb-lter-bnz.582.6
urn:node:LTER,knb-lter-gce.279.19
urn:node:LTER,doi:10.6073/AA/knb-lter-cdr.76123.123
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/204/154830
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-arc/1367/4
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/687/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/5479/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/122/18
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/2106/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/8375/1
urn:node:LTER,knb-lter-arc.10391.1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/2215/1
urn:node:LTER,knb-lter-bes.453.56
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/9472/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/7938/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-arc/10091/3
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/7385/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/1367/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/65/154595
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/14764/2
urn:node:LTER,doi:10.6073/AA/knb-lter-arc.904.1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/6005/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/5455/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/7267/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/4270/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/msb-tempbiodev/1111141/4
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/42/7
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/872/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/7396/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/13538/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/6197/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-cdr/154/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/10618/2
urn:node:LTER,knb-lter-hfr.44.18
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/7592/1
urn:node:LTER,knb-lter-vcr.169.17
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/272/190073
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/602/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/700/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/9376/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/10325/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/5908/1
urn:node:LTER,doi:10.6073/AA/knb-lter-pal.95.1
urn:node:LTER,doi:10.6073/AA/knb-lter-cdr.115153.123
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/10085/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5348/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-arc/1390/8
urn:node:LTER,knb-lter-ntl.216.7
urn:node:LTER,knb-lter-vcr.105.15
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/1998/2
urn:node:LTER,knb-lter-arc.1536.4
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/8585/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/8080/1
urn:node:LTER,doi:10.6073/AA/knb-lter-nwt.149.2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/8904/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/8639/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/9055/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-fce/1200/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/116/18
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/3445/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/7189/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/2594/1
urn:node:CLOEBIRD,CLOEBDMETADATA.10242013.1
urn:node:CLOEBIRD,CLOEODMETADATA.05192014.1
urn:node:USANPN,F7H1300R.0
urn:node:USANPN,10.5066/F7833Q2V.0
urn:node:USANPN,doi:10.5066/F73R0QWG.1
urn:node:USANPN,doi:10.5066/F7H1300R.2
urn:node:USANPN,doi:10.5066/F7C82781.1
urn:node:USANPN,doi:10.5066/F77H1GKR.1
urn:node:USANPN,doi:10.5066/F7028PJS.2
urn:node:SANPARKS,judithk.341.11
urn:node:SANPARKS,judithk.1300.3
urn:node:SANPARKS,peggym.1003.1
urn:node:SANPARKS,judithk.1684.7
urn:node:SANPARKS,judithk.1060.2
urn:node:SANPARKS,peggym.1108.100
urn:node:SANPARKS,judithk.1291.2
urn:node:SANPARKS,peggym.1000.1
urn:node:SANPARKS,peggym.110140.1
urn:node:SANPARKS,judithk.1636.1
urn:node:SANPARKS,judithk.1761.2
urn:node:SANPARKS,peggym.47.3
urn:node:SANPARKS,peggym.82.5
urn:node:SANPARKS,peggym.1102.80
urn:node:SANPARKS,judithk.1383.1
urn:node:SANPARKS,judithk.109953.3
urn:node:SANPARKS,judithk.1581.2
urn:node:SANPARKS,judithk.1739.10
urn:node:SANPARKS,peggym.992.1
urn:node:SANPARKS,peggym.1001.1
urn:node:SANPARKS,nicolavw.22.4
urn:node:SANPARKS,judithk.1699.5
urn:node:SANPARKS,peggym.1224.76
urn:node:SANPARKS,peggym.1235.8
urn:node:SANPARKS,judithk.109953.3
urn:node:SANPARKS,peggym.1224.35
urn:node:SANPARKS,judithk.109838.2
urn:node:SANPARKS,judithk.173.7
urn:node:SANPARKS,peggym.1021.1
urn:node:SANPARKS,peggym.110002.9
urn:node:SANPARKS,peggym.110152.3
urn:node:SANPARKS,judithk.1589.4
urn:node:SANPARKS,peggym.47.3
urn:node:SANPARKS,tembox.3.1
urn:node:SANPARKS,judithk.723.6
urn:node:SANPARKS,nikkis.173.3
urn:node:SANPARKS,peggym.1162.40
urn:node:SANPARKS,peggym.1039.1
urn:node:SANPARKS,peggym.1032.1
urn:node:SANPARKS,peggym.109872.10
urn:node:SANPARKS,judithk.109836.2
urn:node:SANPARKS,judithk.1231.1
urn:node:SANPARKS,judithk.1733.3
urn:node:SANPARKS,judithk.1300.3
urn:node:SANPARKS,judithk.1674.2
urn:node:SANPARKS,peggym.1003.1
urn:node:SANPARKS,peggym.1005.1
urn:node:SANPARKS,judithk.1383.1
urn:node:SANPARKS,judithk.109957.2
urn:node:SANPARKS,peggym.109932.5
urn:node:SANPARKS,peggym.1102.64
urn:node:SANPARKS,peggym.1031.1
urn:node:SANPARKS,judithk.109982.1
urn:node:SANPARKS,peggym.1035.1
urn:node:SANPARKS,judithk.1589.4
urn:node:SANPARKS,peggym.1034.1
urn:node:SANPARKS,peggym.90.3
urn:node:SANPARKS,peggym.110111.1
urn:node:SANPARKS,judithk.1293.1
urn:node:SANPARKS,peggym.126.18
urn:node:SANPARKS,peggym.1099.131
urn:node:SANPARKS,peggym.110161.2
urn:node:SANPARKS,peggym.109987.2
urn:node:SANPARKS,peggym.110152.3
urn:node:SANPARKS,tao.12896.2
urn:node:SANPARKS,judithk.814.4
urn:node:SANPARKS,peggym.1000.1
urn:node:SANPARKS,judithk.1467.4
urn:node:SANPARKS,judithk.1307.2
urn:node:SANPARKS,judithk.691.6
urn:node:SANPARKS,peggym.1224.43
urn:node:SANPARKS,peggym.1099.94
urn:node:SANPARKS,peggym.1024.1
urn:node:SANPARKS,zishane.20.1
urn:node:SANPARKS,judithk.1468.6
urn:node:SANPARKS,peggym.1162.73
urn:node:SANPARKS,nicolavw.22.4
urn:node:SANPARKS,judithk.109852.3
urn:node:SANPARKS,peggym.110127.3
urn:node:SANPARKS,peggym.109837.4
urn:node:SANPARKS,judithk.1594.4
urn:node:SANPARKS,peggym.990.1
urn:node:SANPARKS,judithk.709.15
urn:node:SANPARKS,judithk.1713.1
urn:node:SANPARKS,judithk.207.5
urn:node:SANPARKS,peggym.1013.1
urn:node:SANPARKS,peggym.1029.1
urn:node:SANPARKS,judithk.704.7
urn:node:SANPARKS,peggym.1102.80
urn:node:SANPARKS,knp.3.1
urn:node:SANPARKS,judithk.685.5
urn:node:SANPARKS,peggym.1162.43
urn:node:SANPARKS,judithk.1246.1
urn:node:SANPARKS,peggym.110140.1
urn:node:SANPARKS,judithk.1298.2
urn:node:SANPARKS,judithk.1231.1
urn:node:SANPARKS,judithk.679.6
urn:node:SANPARKS,peggym.1033.1
urn:node:SANPARKS,judithk.1723.3
urn:node:SANPARKS,peggym.109757.53
urn:node:SANPARKS,judithk.348.3
